,mean_value,mean_volumn,profit
sh600122,14181492970.709219,48162614.411347516,0.27548209366391185
sh600123,11454190125.714285,47384400.57714286,-0.3503971756398941
sh600125,15258550067.848837,71125319.0872093,-0.04950495049504943
sh600126,8287277125.338983,31645770.550847456,0.13541666666666669
sh600127,5083525688.285714,41164782.45714286,0.00493421052631583
sh600128,3989478200.4,11304923.394285714,-0.047928513403736786
sh600129,10932823664.040403,13053264.747474747,-0.0958244111349036
sh600130,7037099764.705882,50443049.676470585,0.2865731462925851
sh600131,4377814790.857142,16735811.377142858,0.07079646017699108
sh600132,9886820129.028572,14648609.965714285,-0.1739393939393939
sh600133,6828591415.977012,40724505.390804596,0.23014959723820486
sh600135,6103040342.857142,18045549.274285715,-0.003610108303249181
sh600136,3373728236.7901235,3817956.222222222,1.253782668500688
sh600137,2222801634.1346154,4136412.9326923075,0.08606557377049195
sh600138,15702318601.142857,25761337.782857142,0.26726726726726746
sh600139,10354097230.38835,22574028.78640777,0.6644093303235518
sh600141,8640351010.68323,19372067.701863352,-0.24670433145009416
sh600143,24228280000.0,75285594.94285715,0.0014124293785310433
sh600145,1949836299.3243244,10149034.121621622,0.10043668122270741
sh600146,4857008264.46281,7982220.454545454,0.6031363088057902
sh600148,3541863370.6285715,7702621.165714285,0.026302217637957606
sh600149,7228036883.236994,36330365.30635838,0.09668874172185425
sh600150,61982670919.88571,47053464.76571429,-0.02864090786273967
sh600151,16004861994.965986,55067469.72108843,-0.0337197049525817
sh600152,3027784501.7714286,12552468.188571429,0.07803468208092486
sh600153,39930288796.23932,80059627.84615384,0.6692087702573881
sh600155,7034892145.75,18627679.0,0.24625623960066564
sh600156,4326295374.302325,17258083.98255814,0.24459459459459465
sh600157,57352369245.757576,162568442.99242425,-0.09166666666666656
sh600158,20533961737.142857,54544424.65142857,0.03828306264501161
sh600159,4986637105.6,34530342.74285714,-0.0836820083682009
sh600160,17623745725.333332,53904946.193939395,1.063063063063063
sh600161,18181963805.714287,12386034.742857143,-0.0015186028853454497
sh600162,6834780116.363636,28047616.503496505,-0.11982248520710054
sh600163,6191510285.988024,14796398.526946107,0.0
sh600165,5103606746.442953,9930638.429530201,1.9559748427672958
sh600166,24209462529.82857,89269217.42857143,-0.09878419452887544
sh600167,3612711894.736842,3415658.042105263,0.9441509433962265
sh600168,9823657880.457144,20399338.32,-0.2419117647058823
sh600169,20011202290.882355,105936555.44117647,-0.3775981524249423
sh600170,54084866131.08572,79310066.58285715,-0.011723329425556817
sh600171,12466506035.37143,26989174.50285714,0.3105413105413107
sh600172,10371829333.968254,20709298.57936508,0.9974651457541192
sh600173,5954402170.481928,22641552.524096385,-0.2683982683982683
sh600175,17413228086.0,66912799.15625,-0.11090573012939012
sh600176,19916107183.575756,24850527.193939395,0.34198860037998746
sh600177,37814094689.29936,70542988.81528662,0.08389261744966443
sh600178,4545374970.114943,10758654.649425287,0.4043261231281198
sh600179,6085023595.505618,20850241.68539326,0.05411255411255411
sh600180,19101833333.333332,10600866.666666666,0.15771028037383172
sh600182,6986549714.285714,5994830.48,-0.1400491400491401
sh600183,13043137653.6,52080646.474285714,-0.01858736059479558
sh600184,10793344411.6,6620842.84,-0.44730077120822614
sh600185,15096987044.683544,17307214.006329115,-0.2863615768010875
sh600186,6616175452.222222,53561726.81111111,1.3826879271070618
sh600187,10970704098.98734,99598603.70253165,-0.3415265200517465
sh600188,51923891428.57143,28685643.64,-0.3606896551724138
sh600189,4012755210.0840335,13652629.394957984,0.5868814729574223
sh600190,12365736911.6,27261459.445714287,-0.04942965779467677
sh600191,4628065166.0,9307424.675,0.43355855855855846
sh600192,5241644462.857142,20740697.742857143,-0.21280991735537186
sh600193,5667975449.767442,21610453.217054263,0.9794419970631426
sh600195,10052592920.2454,10363859.472392637,0.17839506172839512
sh600196,55710603676.111115,36519282.69135802,0.09801202034211748
sh600197,5845649028.571428,12582747.32,-0.14528593508500764
sh600198,23584342595.714287,27912106.78857143,0.13924050632911386
sh600199,6317363639.657143,23668984.817142855,-0.33061224489795926
sh600200,13309187145.348837,27575607.808139537,0.43292181069958846
sh600201,17191075945.454544,4519148.151515151,0.45101982189026124
sh600202,4166951237.2222223,16684647.277777778,1.4493506493506494
sh600203,5137235186.13497,12068416.128834356,0.10874200426439228
sh600206,12893980397.283237,30286677.24855491,0.053662691652470104
sh600207,5752516666.666667,27567475.492063493,0.028716216216216204
sh600208,60995365454.88372,121403961.68604651,-0.25523012552301255
sh600209,4192326242.736842,26181438.305263158,-0.30210526315789477
sh600210,10433871415.828571,71663529.58857143,0.12062256809338524
sh600211,5940266551.344538,3221899.151260504,-0.04058355437665785
sh600212,4731017976.30137,45282425.80821918,0.5036855036855036
sh600213,3162146285.714286,9286609.605714286,-0.33290071382219344
sh600215,4267978527.1098266,16861308.254335262,0.27050610820244325
sh600216,11557778632.0,32633337.61142857,-0.18604651162790697
sh600217,10298614957.8125,16753111.5703125,-0.2975391498881431
sh600218,4695021996.0,13165729.794285715,-0.15859030837004395
sh600219,26072959578.21839,133378682.33908045,-0.25918153200419725
sh600220,11148738480.0,71902169.09714286,0.1975
sh600221,56593280207.80488,401960277.5304878,0.09065934065934067
sh600222,5792003896.176471,25640251.05882353,-0.12297297297297298
sh600223,8141090416.914286,23220954.594285715,-0.15317919075144504
sh600225,7808565344.567902,20313625.0,-0.3088235294117648
sh600226,4295858399.615385,13858454.673076924,0.7493975903614456
sh600227,7367572109.142858,60207199.4,-0.2989536621823617
sh600228,3422309320.0,12485203.294117646,-0.06978879706152431
sh600229,6689726190.588235,21268413.211764704,0.5420023014959725
sh600230,3804719681.3714285,11110787.28,-0.24500434404865337
sh600231,5044998513.377483,33871669.1589404,-0.1350806451612903
sh600232,3245730419.142857,15772698.728571428,0.3685897435897434
sh600233,2931026646.706587,6855809.149700599,0.44063324538258575
sh600234,3561285460.974026,19053768.181818184,-0.2672471533824515
sh600235,3720899668.571429,14663305.051428571,0.15499254843517138
sh600236,17858415755.741936,40953267.52903226,0.31914893617021284
sh600237,4880681970.751445,31202667.976878613,-0.10719754977029099
sh600238,6898550642.857142,15982080.738095239,-0.1762794476035743
sh600239,7874853492.55814,37567032.994186044,-0.11285714285714286
sh600240,20493168522.5,47077561.76282051,0.372945638432364
sh600241,2359048487.179487,7482546.525641026,0.02195389681668508
sh600242,3009045245.4347825,8538286.52173913,0.08460471567267688
sh600243,2785572381.4102564,12668905.653846154,0.1634491634491634
sh600246,6852414370.37037,35768431.7962963,-0.16729323308270685
sh600247,5254707867.183908,8687198.925287357,1.1552346570397112
sh600248,5180390373.942857,10911385.794285715,-0.13377926421404693
sh600249,4938477011.494253,20184487.224137932,-0.16464237516869093
sh600250,3202723584.3023257,11624265.337209303,-0.19735682819383263
sh600251,9628154097.965117,18899501.906976745,-0.473882606354335
sh600252,24709594606.783627,51633006.812865496,-0.6510510510510511
sh600255,11688529796.511627,113060422.35465117,-0.14619883040935672
sh600256,48005199564.19753,162340844.80246913,-0.22322435174746333
sh600257,4616944833.333333,25765333.62962963,0.3444909344490935
sh600258,3936415826.0869565,3507518.0434782607,0.10520094562647739
sh600259,14270262129.212599,8912914.125984251,-0.2075564278704612
sh600260,8762426360.23077,29124233.96923077,0.10484780157835417
sh600261,11665314691.77143,38399849.394285716,-0.2108294930875576
sh600262,5252825714.285714,4595124.245714285,0.9539831766452251
sh600265,2080304950.617284,1896839.9691358025,0.8607723577235772
sh600266,30927535004.65116,41275432.81395349,-0.4886021505376344
sh600267,18262314745.885715,22518837.84,-0.3296252927400468
sh600268,6677276625.828571,28173782.365714286,0.03337783711615487
sh600269,14069715659.142857,63538628.26285715,-0.013671875000000056
sh600270,22581581287.657143,17877329.85714286,0.2305441778818023
sh600271,53331743714.28571,21561588.291925468,0.6217404963870562
sh600272,3370446971.428571,8329484.2114285715,-0.0020380434782609467
sh600273,16923414729.117647,23340810.08235294,-0.007658643326039418
sh600275,3981758487.928571,22487774.464285713,-0.13321799307958485
sh600276,78963398394.34285,14953378.228571428,0.18828991488264113
sh600277,21788673594.081635,51466294.63265306,0.597814207650273
sh600278,8819669694.739885,11926387.578034682,0.2159695817490494
sh600279,6638780910.6285715,13677191.297142858,-0.25630914826498424
sh600280,12525092739.23664,24086690.541984733,-0.11486486486486493
