,profit,mean_volumn,mean_value
sh600606,-3.406257023825735,16.886576723948373,25.050093565462895
sh600608,-2.457204047238664,16.44681265318907,21.892690372143075
sh600609,-0.35127317523331186,17.07017774345141,22.37203962536617
sh600611,-1.660731206821651,17.91555929458717,23.685343045683727
sh600612,-0.7904728128436201,14.704994139583585,23.69961053661351
sh600613,-1.7147334909186185,15.87625110093228,22.99973620386245
sh600614,-1.9256048828945675,16.6486365369586,23.480614714226032
sh600615,-1.4078719617644377,15.526283019919342,22.00775441887154
sh600616,-2.1816721643287345,16.80941607887833,22.586073000293304
sh600618,-2.2158983386334627,16.43154448739499,23.178331426512734
sh600620,0.005189425242225622,16.760112188792288,22.75910144881554
sh600621,-0.31845373111853476,16.93850415953495,22.696436027128907
sh600622,-0.8062408758529425,16.892559944448518,22.437456432119827
sh600626,-0.7166195367450874,17.426318257381983,23.190670284885773
sh600628,-0.44047227904319275,17.109547297363857,22.732137371597588
sh600629,-1.437091254405166,15.218373809924838,22.909247221596683
sh600630,-0.37080491570171814,17.165269747724196,22.646249808129976
sh600634,0.7294854539987528,17.056600798076964,22.9742552369991
sh600640,-1.8622994129624202,16.579222155787527,23.23754302652854
sh600641,-0.3655485007027217,16.886277089423366,22.526212987091313
sh600642,-1.9899567525956876,18.431120631332245,24.4015393619772
sh600643,-1.5958711209853294,17.693316967297093,23.80205774866819
sh600645,-0.026722033657045275,16.35975313734631,23.76100391963987
sh600647,-1.0195196998308935,15.176688387545708,22.000136064052054
sh600649,-0.3624204884256378,18.27092580384109,24.40177488562457
sh600650,-0.16478255261909242,16.59210622239244,23.011802987037385
sh600651,-1.121883393919139,17.26457968440565,23.350399012575714
sh600652,1.443791470983399,17.83727004066331,23.28901967206966
sh600653,-0.9710989683691501,18.39894052107967,23.058794437005556
sh600654,0.6718697821126606,17.16173659745263,24.01239861518601
sh600655,-0.9329577843593667,17.733390507211983,23.882645019657048
sh600661,-2.6969543868471564,15.769495422921274,22.953881496531768
sh600662,-0.24253881107194827,17.719350842690414,23.383167039184777
sh600663,-1.216228627096282,16.724433695063652,25.005535573839694
sh600664,-2.011618945341074,17.737727548732188,23.815937763194633
sh600666,0.09149674015804218,16.106809177528522,23.543528645903056
sh600671,-0.41860324554559597,15.108829374486925,21.742458565760433
sh600675,-1.8405496333974873,18.06512312167359,23.500380551160465
sh600676,-0.5224280743854546,17.42656545313624,23.07379808173841
sh600678,-4.17630850007353,16.485106867106857,22.50702462486079
sh600679,-1.8547928475110238,15.938570795132527,22.34692645965819
sh600680,-0.13071517323469004,16.06966203101944,22.652688384650965
sh600681,-0.8370413602200146,16.3548445027573,21.659318541368783
sh600682,0.33619817641760663,15.776464701027011,23.364122806365653
sh600684,-2.1590369221260515,17.390137956115705,22.76293509982917
sh600686,-1.2480422673604303,15.897717397680742,23.12933534148852
sh600687,-1.1956324724097165,16.63797941031454,23.511588520190198
sh600688,-0.6804620210326296,18.972652475351254,24.88373827714482
sh600689,-1.1094623046921754,15.395807205857187,21.287922474212706
sh600692,-1.4026330234746798,16.799844962753145,22.32131107225113
sh600696,-4.634728988229635,17.171393190699057,22.137780054510568
sh600698,-2.7759614067184226,17.214135777117534,22.735565508323518
sh600699,-1.5176561759608866,16.543796865510664,23.7587347470057
sh600701,0.09285752835000584,17.295922533179425,22.95305070471669
sh600704,-0.9180435807015693,17.703507954005946,23.856141525127814
sh600707,-0.4442108746840066,17.39199072438122,23.03854561701574
sh600708,-0.49619396149792677,17.059701081370754,22.672828847282183
sh600712,-1.6642202586263075,17.09650119336932,22.261021400616194
sh600713,-2.375946517893983,17.392973154702982,23.04706405936638
sh600715,-1.7952498741678238,14.843764649012572,22.73130740006492
sh600719,-1.4380706306436115,15.633058857247173,21.35155608371859
sh600721,-0.2828023137272396,15.676585873121489,21.969318707612786
sh600724,-3.2363227384719213,16.999490531369084,23.116527149949682
sh600726,-0.5405271913729001,18.091560534028638,23.340130295762922
sh600727,-1.6901992690785586,16.550038924495855,21.892227233030333
sh600728,-0.5324182276737479,16.76326209144947,23.35052632455691
sh600729,-1.41903306050533,16.33785955829233,23.220732938299616
sh600730,-0.01272744453209835,16.664420727667224,22.555558046566553
sh600732,-3.0458820572394636,16.68095312108443,22.017696618789383
sh600734,-2.1352329013082523,16.650650437216115,21.5718985619101
sh600736,-0.939597786022773,17.641648691818343,23.02408214031348
sh600737,-0.6845078179692379,18.48795283035086,24.12281652663332
sh600743,-2.0298446005404633,17.566883504760185,23.141114083326514
sh600744,-0.2784849789708637,17.70973762684079,22.475838399875368
sh600745,-0.5297578998540136,16.051270061946333,23.596544342432427
sh600746,-2.2151190672127687,15.97498800377802,21.876889225525755
sh600749,-1.1916117075023624,16.582004861755376,22.13265397219892
sh600750,0.1871278875812111,16.006071663602672,23.0782622847797
sh600753,-1.83294175919447,15.396216363444115,21.795957491508016
sh600754,-2.277267285009756,15.72134050601593,23.800656913414176
sh600756,-3.7741966885207416,17.17896491278177,22.66137763842446
sh600757,-6.714170529909493,17.974817379659175,23.04135511647642
sh600758,-2.9137373068523753,15.664380022267515,21.67327659990552
sh600760,-1.6471417500595196,17.278976898862812,22.412487203420838
sh600763,0.2857266243218768,14.114952302344475,23.09305676482536
sh600764,-0.8119490650054317,16.075071756654072,22.549721484884095
sh600766,-3.460789478864399,16.537683463967785,21.839497997201338
sh600767,-1.6632625624478805,17.175536638365717,22.758319648620926
sh600768,-1.4341503822975255,15.486852559465033,21.623437338801985
sh600769,-2.9784790254064317,16.33884876780608,22.104372236945064
sh600770,-1.9835214198010962,17.67718786114606,23.746871987617656
sh600771,-4.602667055769979,15.460532555904212,22.93141701868676
sh600773,-1.8629490003647062,16.82059921911965,23.200404384516812
sh600774,-1.781945847779731,15.043035994897279,22.00266688622877
sh600775,-1.3314360005678445,16.96227141262264,23.29916344770832
sh600778,-0.3080020749427382,16.55901721225489,21.950165517389753
sh600781,-1.9989026791958242,15.696897914084857,22.100445572755103
sh600785,-0.006518927909817036,15.913676430230876,22.283578889815434
sh600787,-2.9644797300498875,18.009383677814586,23.88205498412624
sh600789,-1.0034215760403202,17.69965353945393,22.679928213388717
sh600793,-0.32104776629558124,14.05783148717034,21.1532608477792
sh600796,-2.0494256457395696,16.548620766737415,21.897324547242263
sh600797,-0.5649420322180967,17.946715723915307,23.103465155862743
sh600798,-0.589668133001825,17.531108920276566,22.77401672019478
sh600800,-2.609756852667475,17.400648353300717,22.553622734485074
sh600803,-3.558608048076617,16.05140310964123,23.522820705544497
sh600804,-1.448412229667333,17.879789459828377,24.447068427572592
sh600806,-1.7488679045987425,16.40963005821411,21.78795975425716
sh600807,-1.5556083337504938,16.882742512331568,23.029616060076588
sh600816,-0.8779744102864425,16.83481832348136,23.758644225115944
sh600817,-0.854739755197589,15.391785964526571,21.425958001778753
sh600818,0.25392487597262176,15.538583069644108,23.287209253941086
sh600820,-0.9366873597818006,18.64568199313404,24.384321289493748
sh600821,-1.9934991118791117,16.89214230172357,22.07155422203146
sh600822,-0.9599113543500452,16.690329460306103,22.4195915132361
sh600824,-1.222035291971871,17.46252530611733,22.88443937461113
sh600826,-1.592462966643968,16.171353758036606,23.237995425069066
sh600827,-3.6125712610506153,17.5519031288567,24.18697050433088
sh600828,-2.415063076420736,16.29860957386963,22.1713859184298
sh600831,-0.9761755843303791,17.47144953657537,22.86817935071058
sh600832,-0.4076226062481856,18.06338307554875,24.63071673227608
sh600833,-1.4935112607383918,15.912308382035151,22.21013196782554
sh600834,-0.4995077988333293,16.421784140343526,22.73068802211094
sh600835,-1.1688452256992374,16.83095022542835,24.015928604899035
sh600836,-0.4376101756855347,16.93376808544312,22.70181283528681
sh600838,-0.2658495679000193,17.259960068622277,22.391871840417526
sh600839,-1.186369099907688,19.359838428687652,24.247125338965954
sh600843,-3.3322045101752025,16.47626197303961,22.619643503542232
sh600845,-1.2482444632080167,14.706153335545476,23.61310855707248
sh600846,-4.98474752314412,17.58511247892546,22.676721315162165
sh600847,0.22151178592630436,15.018661740851737,22.07740658845287
sh600848,-1.2364666378023823,16.162540697015732,22.615279326664226
sh600850,-2.0814934257355207,15.360064097336164,23.589176356959378
sh600851,-3.3209810478053536,17.401662970863633,23.12543300194517
sh600853,-1.090964067829853,17.433211757099297,22.096588465364146
sh600854,-3.4587672334836297,16.811976368414282,22.098492202985955
sh600856,0.23612021353998958,15.94405283582916,22.898105999983596
sh600860,-0.08884696161411315,15.99722747234565,22.019352542868845
sh600861,-1.5030848408635225,16.20084599376511,22.211409830135864
sh600862,-0.7593399617935427,16.897453031548388,23.278803948634476
sh600865,-0.9942872377675696,16.638063314227125,22.419499182465817
sh600866,-1.6152182753496,16.133333317878524,22.256350870616153
sh600867,-0.9489754740476507,16.991106069749545,23.911289359894393
sh600868,-0.7811159535059022,18.973297309069405,23.071548126305128
sh600869,-0.5383673720551256,16.807459067501505,23.504484455755303
sh600871,-0.39604319686654516,17.774464404141224,25.408050941804866
sh600872,-1.2527629684953678,17.042142530827668,23.124088289375408
sh600876,0.5766980538462972,16.43847230838014,22.62898140063958
sh600877,-2.761893433123034,17.565278809148552,22.61938314619819
sh600879,-2.115999137413633,17.853167938608692,23.68852403161249
sh600882,-0.45163675237565987,16.339944562636955,22.055782369006813
sh600883,-1.6320377443513412,15.746669362218482,21.917871364617582
sh600884,-1.0049700762139842,16.60026976150861,23.074796825328246
sh600885,-0.8970713707863264,15.51110727157232,23.504581241152387
sh600889,-1.2435236049553948,16.32332389947336,22.155433369565355
sh600891,-2.5051678349278235,16.414761530087272,21.899016256321822
sh600892,-1.329926050242347,14.80065912224723,21.7196024439099
sh600893,-1.082127474660674,17.35909002192163,25.221383726294285
sh600894,-1.757273293156886,16.629794478825165,23.550408341947804
sh600895,-0.7374606879114243,17.813626344154073,24.29526971779896
sh600896,-0.28864872308287604,17.22955941911139,22.520968730863988
sh600898,-0.42768824489287455,16.49829110335208,21.973367471902144
sh600900,-1.1471788642396283,18.34372031771605,25.968763891532966
sh600917,-4.855928904335274,16.501928376411364,23.68797665956673
sh600958,-1.986905288758235,18.380244610061656,25.70415978416344
sh600959,0.18168683763586352,17.87625438843226,25.1227113656024
sh600961,-5.517452896464729,16.690585096229245,22.655633929847962
sh600963,-1.2241500336118867,17.782865179074072,22.751786356507164
sh600965,-2.117691423813836,16.582349107447254,22.746348687062135
sh600967,-1.69889911633446,17.024728051574524,23.220030347831816
sh600978,0.9540310598570023,18.19171862628863,23.6754374607522
sh600980,-3.072031720223379,15.459752235490438,21.740798833253617
sh600981,-0.47824483832661296,16.676276644989713,22.48348372616062
sh600983,-1.789409291883101,16.159394119946583,23.146414629998418
sh600986,0.345269947324742,16.714830440546628,22.75126222897176
sh600987,-1.9045549633733994,16.614963971435767,22.80815984133609
sh600988,-1.966816833874627,16.948799811282264,23.065696311384105
sh600990,-1.8239202099350864,15.173128499453096,23.039964976519567
sh600992,-2.3585643607359468,16.37462246048021,21.962392113083176
sh600995,-3.695996921882805,17.055202874034123,22.28873070310233
sh601003,-0.31365755885504165,17.141112248617663,23.196027786230466
sh601007,-3.0334726015368387,16.255258519515,22.44928146122476
sh601009,-3.182823856428127,18.31918749260901,24.634568446872017
sh601011,-1.2977564993276662,15.91238016028609,22.733789888434266
sh601016,-1.1902568785792274,16.62010724552257,24.251569586876265
sh601018,-0.3263965846324714,19.098198307134375,25.24977902139327
sh601021,1.2440388726706058,15.484234086880438,24.413000404798414
sh601069,0.7689907218952021,16.854932502026198,23.154438355845286
sh601098,-1.3549956740631868,16.716191617950717,24.4052710029046
sh601100,-2.455774927203301,15.840111376511588,23.007682528906486
sh601106,-0.4554755286828256,19.40532186875498,24.884596337222245
sh601126,-0.6839833134531543,15.799320256483767,23.137857008513567
sh601186,-4.222177933731983,19.24061343256042,26.02409064577078
